word,status,calification,definition,word_length,language
ÁFACA,true,"""nombre femenino""","""Planta anual arvense de la familia de las papilionáceas parecida a la lenteja""",5,esp
AFACER,true,"""verbo intransitivo desusado""","""Acostumbrarse hacerse a algo""",6,esp
AFAMAR,true,"""verbo transitivo""","""Hacer famoso dar fama prestigiar2 acreditar desprestigiar calumniar desacreditar""",6,esp
ACARAR,true,"""verbo transitivo""","""Poner cara a cara""",6,esp
AFATE,true,"""nombre masculino""","""ahuate""",5,esp
AFICHE,true,"""nombre masculino""","""lámina con inscripciones o figuras cartel1 pasquín""",6,esp
AFIJAR,true,"""verbo transitivo""","""Adjuntar un afijo a una base""",6,esp
AFLUIR,true,"""verbo intransitivo""","""Acudir un conjunto de personas a un lugar o sitio determinado concurrir reunirse concentrarse aglomerarse ausentarse faltar""",6,esp
ABOGAR,true,"""verbo intransitivo""","""Defender en juicio por escrito o de palabra defender interceder mediar proteger apoyar2 respaldar2 auxiliar2 ayudar patrocinar acuerpar acusar""",6,esp
ÁFONO,true,"""adjetivo""","""silencioso afónico mudo""",5,esp
ADUFE,true,"""nombre masculino""","""Pandero morisco pandero""",5,esp
AFOFARSE,true,"""verbo pronominal""","""Ponerse fofo""",8,esp
ASUMIR,true,"""verbo transitivo""","""Atraer a sí tomar para sí aceptar admitir adjudicarse arrogarse apropiarse tomar rechazar""",6,esp
AGAMÍ,true,"""nombre masculino""","""Ave ciconiforme originaria de del tamaño de la gallina que se domestica fácilmente y sirve como de guardián de las demás aves""",5,esp
AFANAR,true,"""verbo transitivo""","""Hurtar estafar robar robar hurtar sustraer escamotear sisar birlar choricear bailar desplumar bolsear bolsiquear""",6,esp
AGACE,true,"""adjetivo""","""Dicho de una persona De un pueblo indio americano que vivía en la desembocadura del río""",5,esp
ÁGAPE,true,"""nombre masculino""","""Comida fraternal de carácter religioso entre los primeros cristianos destinada a estrechar los lazos que los unían""",5,esp
ÁGATA,true,"""nombre femenino""","""Cuarzo lapídeo duro traslúcido y con franjas o capas de uno u otro color ónice cornalina crisoprasa cuarzo sílice""",5,esp
AFORE,true,"""nombre femenino""","""Banco que administra las cuentas individuales de ahorro para el retiro de los trabajadores""",5,esp
ACORARSE,true,"""verbo pronominal""","""Enfermar desmedrar""",8,esp
AGUAÍ,true,"""nombre masculino""","""Nombre de varias especies de plantas del del y de la argentina pertenecientes a la familia de las sapotáceas cuya madera se utiliza con fines industriales y cuyo fruto se emplea para hacer confituras""",5,esp
AGUAR,true,"""verbo transitivo""","""Mezclar agua con otro líquido generalmente vino casi siempre para rebajarlo o con otra sustancia diluir1 aclarar disolver achirlar""",5,esp
AGRE,true,"""adjetivo desusado""","""áspero y penetrante""",4,esp
AGUÍN,true,"""nombre masculino""","""tejo2""",5,esp
AGRIAR,true,"""verbo transitivo""","""Poner agrio algo acedar acidificar acidular avinagrarse""",6,esp
AGUTÍ,true,"""nombre masculino""","""Mamífero roedor de una familia afín a la del conejillo de propio de y que vive en regiones boscosas cavia2 cobayo acutí cherenga cotuza guatusa ñeque acure""",5,esp
ABAJAR,true,"""verbo transitivo""","""bajar rebajar reducir disminuir subir""",6,esp
AHIJAR,true,"""verbo transitivo""","""Dicho de un animal Acoger una cría ajena acoger""",6,esp
AFILAR,true,"""verbo transitivo""","""Sacar filo o hacer más delgado o agudo el de un arma o instrumento adelgazar adelgazarse aguzar ahusarse desafilar embotar1""",6,esp
AHILAR,true,"""verbo intransitivo""","""Ir uno tras otro formando hilera desfilar2""",6,esp
AHÍNA,true,"""adverbio desusado""","""fácilmente""",5,esp
AHITAR,true,"""verbo transitivo""","""Señalar los lindes de un terreno con mojones hitar amojonar mojonar""",6,esp
ACHUMA,true,"""nombre femenino""","""Cardón gigante cactácea de hasta diez metros de altura y tronco leñoso sampedro""",6,esp
AHUMAR,true,"""verbo transitivo""","""Poner al humo algo hacer que lo reciba""",6,esp
ABUSAR,true,"""verbo intransitivo""","""Hacer uso excesivo injusto o indebido de algo o de alguien Abusaba de su autoridad atropellar aprovecharse excederse explotar1 extralimitarse""",6,esp
AÍLLO,true,"""nombre masculino""","""Cada uno de los grupos en que se divide una comunidad indígena cuyos componentes son generalmente de un linaje""",5,esp
AÍNAS,true,"""adverbio poco usado""","""fácilmente fácil aína pronto aína""",5,esp
ABRIR,true,"""verbo transitivo""","""Descubrir o hacer patente lo que está cerrado u oculto Abrir una caja Abrir un aposento destapar descerrar entreabrir desabrochar descubrir cerrar tapar cubrir""",5,esp
AIRÓN,true,"""nombre masculino""","""Garza real garza""",5,esp
AISLAR,true,"""verbo transitivo""","""Dejar algo solo y separado de otras cosas incomunicar separar apartar excluir arrinconar retirar1 encerrar confinar recluir comunicar conectar integrar""",6,esp
AJAR,true,"""nombre masculino""","""Tierra sembrada de ajos""",4,esp
AJEAR,true,"""verbo intransitivo""","""Dicho de una perdiz Repetir como quejándose cuando se ve acosada serrar""",5,esp
ALABAR,true,"""verbo transitivo""","""Manifestar el aprecio o la admiración por algo o por alguien poniendo de relieve sus cualidades o méritos chulear elogiar enaltecer celebrar ensalzar encomiar loar encarecer aplaudir exaltar ponderar criticar condenar""",6,esp
ALAJÚ,true,"""nombre masculino""","""Pasta de almendras nueces a veces piñones pan rallado y tostado especia fina y miel bien cocida alejur alfajor""",5,esp
ALA,true,"""nombre femenino""","""Cada uno de los órganos o apéndices pares que utilizan algunos animales para volar remo alón1 élitro""",3,esp
ÁLAMO,true,"""nombre masculino""","""Árbol de la familia de las salicáceas que se eleva a considerable altura de hojas anchas con largos pecíolos y flores laterales y colgantes Crece en poco tiempo y su madera blanca y ligera resiste mucho al agua chopo1 pobo temblón tiemblo""",5,esp
ALAUÍ,true,"""adjetivo""","""Perteneciente o relativo a la actual dinastía reinante en alauita""",5,esp
ALBÍN,true,"""nombre masculino""","""hematites""",5,esp
ÁLBUM,true,"""nombre masculino""","""Libro en blanco comúnmente apaisado y encuadernado con más o menos lujo cuyas hojas se llenan con breves composiciones literarias sentencias máximas piezas de música firmas retratos""",5,esp
ALEA,true,"""nombre femenino""","""aleya""",4,esp
ALHELÍ,true,"""nombre masculino""","""Planta vivaz europea de la familia de las crucíferas que se cultiva para adorno y cuyas flores según sus variedades son sencillas o dobles blancas rojas amarillas o de otros colores y de grato olor""",6,esp
ALGUND,true,"""adjetivo indefinido""","""alguno.""",6,esp
ALEAR,true,"""verbo intransitivo""","""Mover las alas aletear""",5,esp
ÁLICA,true,"""nombre femenino""","""Poleadas o puches que se hacían de varias legumbres y principalmente de espelta""",5,esp
ALCE,true,"""nombre masculino""","""Mamífero rumiante parecido al ciervo y tan corpulento como el caballo de cuello corto cabeza grande pelo oscuro y astas en forma de pala con recortaduras profundas en los bordes anta1 ante1 dante""",4,esp
ÁLIMO,true,"""nombre masculino""","""orzaga armuelle marismo salgada salgadera""",5,esp
AGUA,true,"""nombre femenino""","""Líquido transparente incoloro inodoro e insípido en estado puro cuyas moléculas están formadas por dos átomos de hidrógeno y uno de oxígeno y que constituye el componente más abundante de la superficie terrestre y el mayoritario de todos los organismos vivos""",4,esp
ALUDIR,true,"""verbo intransitivo""","""Mencionar a alguien o algo o insinuar algo mencionar citar insinuar sugerir omitir""",6,esp
ÁLULA,true,"""nombre femenino""","""Grupo de plumas del borde anterior de las alas de las aves que se insertan sobre el primer dedo y poseen funciones especiales en el vuelo""",5,esp
ÁLVEO,true,"""nombre masculino""","""cauce natural de un río o arroyo madre cauce lecho""",5,esp
AMAR,true,"""verbo transitivo""","""Tener amor a alguien o algo querer1 adorar idolatrar estimar apreciar camelar odiar abominar aborrecer detestar desamar""",4,esp
ÁMBAR,true,"""nombre masculino""","""Resina fósil de color amarillo más o menos oscuro opaca o semitransparente muy ligera dura y quebradiza que arde con facilidad y con buen olor se electriza fácilmente por frotamiento y se emplea en objetos de adorno cárabe electro1""",5,esp
AMBÓN,true,"""nombre masculino""","""Púlpito o atril para leer o cantar en las funciones litúrgicas de los dos situados normalmente a uno y otro lado del altar mayor uno para la epístola y otro para el evangelio o en algunas iglesias antiguas a los lados del coro""",5,esp
A,true,"""nombre femenino""","""Primera letra del abecedario español que representa el fonema vocálico abierto central""",1,esp
AMAINAR,true,"""verbo intransitivo""","""Dicho del viento Aflojar perder su fuerza ceder remitir aflojar calmarse disminuir escampar arreciar""",7,esp
AMIRÍ,true,"""adjetivo""","""Descendiente de que a la caída del califato de fundó reinos de taifas en el Levante de durante la primera mitad del siglo""",5,esp
AMOVER,true,"""verbo transitivo""","""deponer de un empleo o destino remover destituir despedir""",6,esp
AMPÓN,true,"""adjetivo""","""Amplio repolludo ahuecado""",5,esp
AMARO,true,"""nombre masculino""","""Planta de la familia de las labiadas de unos a de altura muy ramosa con hojas grandes acorazonadas en la base recortadas por el margen y cubiertas de un vello blanquecino y flores en verticilo blancas con viso morado y de olor nauseabundo y que se usa como tópico para las úlceras bácara bácaris esclarea maro""",5,esp
AMBRE,true,"""sufijo""","""Forma sustantivos colectivos o que indican abundancia Pelambre raigambre enjambre corambre""",5,esp
AMARAR,true,"""verbo intransitivo""","""Dicho de un hidroavión o de un vehículo espacial Posarse en el agua amerizar acuatizar despegar""",6,esp
ANABÍ,true,"""nombre masculino""","""nabí profeta""",5,esp
ÁNADE,true,"""nombre masculino o femenino""","""ave pato1 parro curro2 corco corío""",5,esp
ANAMÚ,true,"""nombre masculino""","""Planta silvestre de la familia de las fitolacáceas que crece hasta unos de alto con ramas divergentes hojas parecidas a las del solano y flores blancas de ocho estambres en largas espigas La planta huele a ajo y lo mismo la leche de las vacas que la comen""",5,esp
ANCÓN,true,"""nombre masculino""","""Cada una de las dos ménsulas colocadas a uno y otro lado de un vano para sostener la cornisa ménsula""",5,esp
ANDÓN,true,"""adjetivo""","""Dicho de una caballería Que anda mucho andalón""",5,esp
AFEAR,true,"""verbo transitivo""","""Hacer o poner feo a alguien o algo embellecer""",5,esp
ÁNGEL,true,"""nombre masculino""","""En diversas religiones monoteístas espíritu celeste creado por Dios para su ministerio espíritu arcángel serafín1 querubín querube""",5,esp
ANGÚ,true,"""nombre masculino""","""Puré de plátano o guineo""",4,esp
ANIÓN,true,"""nombre masculino""","""Ion con carga negativa""",5,esp
ÁNODO,true,"""nombre masculino""","""Electrodo positivo""",5,esp
ÁNSAR,true,"""nombre masculino""","""ave ganso ansarón oca1 auca1""",5,esp
ANSIA,true,"""nombre femenino""","""Congoja o fatiga que causa en el cuerpo inquietud o agitación violenta tranquilidad despreocupación""",5,esp
ANGIO,true,"""elemento compositivo""","""Entra en la formación de voces científicas españolas con el significado de de los vasos sanguíneos o de los vasos linfáticos Angiografía angioma""",5,esp
AÑADA,true,"""nombre femenino""","""Discurso o tiempo de un año año1""",5,esp
AÑADIR,true,"""verbo transitivo""","""Agregar incorporar algo a otra cosa agregar echar incorporar incluir sumar anexionar adicionar sustraer restar""",6,esp
ANIDAR,true,"""verbo intransitivo""","""Dicho de un ave Hacer nido o vivir en él nidificar""",6,esp
APA,true,"""locución adverbial""","""A la espalda a cuestas""",3,esp
APEAR,true,"""verbo transitivo""","""Desmontar o bajar a alguien de una caballería de un carruaje o de un automóvil bajar descender desmontar2 descabalgar salir subir montar""",5,esp
ÁPICE,true,"""nombre masculino""","""Extremo superior o punta de algo punta cúspide pico1 ápex sumidad extremo vértice cima cumbre extremidad remate apículo""",5,esp
API,true,"""nombre masculino""","""Mazamorra de maíz morado triturado sazonada con diversos ingredientes""",3,esp
APRÉS,true,"""adverbio desusado""","""cerca2.""",5,esp
ÁRABE,true,"""adjetivo""","""Natural de región de""",5,esp
ARABÍ,true,"""adjetivo desusado""","""perteneciente a""",5,esp
ARAR,true,"""nombre masculino""","""alerce africano.""",4,esp
ARASÁ,true,"""nombre masculino""","""árbol guayabo1 arazá""",5,esp
ARAZÁ,true,"""nombre masculino""","""árbol guayabo1 arasá""",5,esp
ÁRBOL,true,"""nombre masculino""","""Planta de tallo leñoso y elevado que se ramifica a cierta altura del suelo palo""",5,esp
ÁRBOR,true,"""nombre masculino desusado""","""árbol.""",5,esp
ARCÉN,true,"""nombre masculino""","""Margen u orilla margen orilla1 borde1""",5,esp
ARCÓN,true,"""nombre masculino""","""de arca1 baúl cofre arqueta caja cajón""",5,esp
ÁRDEA,true,"""nombre femenino""","""alcaraván""",5,esp
ARDER,true,"""verbo intransitivo""","""Sufrir la acción del fuego quemarse abrasarse incendiarse chamuscarse calentarse encenderse""",5,esp
ARGÁN,true,"""nombre masculino""","""erguén""",5,esp
ARGÉN,true,"""nombre masculino""","""Color blanco o de plata plata""",5,esp
ARGÓN,true,"""nombre masculino""","""Elemento químico de perteneciente al grupo de los gases nobles abundante en la atmósfera y en las emanaciones volcánicas y que se usa en el llenado de bombillas y en la industria metalúrgica""",5,esp
ARGUE,true,"""nombre masculino desusado""","""torno de eje vertical""",5,esp
ÁRIDO,true,"""adjetivo""","""Seco estéril de poco jugo y humedad seco desierto desértico estéril baldío yermo infecundo improductivo incultivable húmedo""",5,esp
ARMÓN,true,"""nombre masculino""","""Juego delantero de la cureña de campaña con el cual se completa un carruaje de cuatro ruedas para mayor facilidad en la conducción y se separa cuando la pieza ha de hacer fuego""",5,esp
ARNÉS,true,"""nombre masculino""","""Armadura o conjunto de piezas defensivas aseguradas con correas y hebillas""",5,esp
ARPÍA,true,"""nombre femenino""","""Ave fabulosa con rostro de mujer y cuerpo de ave de rapiña""",5,esp
ARPÓN,true,"""nombre masculino""","""Instrumento que se compone de un astil de madera armado por uno de sus extremos con una punta de hierro que sirve para herir o penetrar y de otras dos que miran hacia el astil y hacen presa fisga tridente bichero anzuelo cítora""",5,esp
ARRIA,true,"""nombre femenino""","""recua tropa arreo3""",5,esp
ARDUO,true,"""adjetivo""","""Muy difícil difícil duro dificultoso peliagudo fregado complicado complejo espinoso intrincado laborioso trabajoso arrecho fácil sencillo""",5,esp
ARRUÍ,true,"""nombre masculino""","""Bóvido especie de cabra montés con largos flecos de pelo suave en la garganta pecho y patas delanteras Es típico de las zonas montañosas del desierto del""",5,esp
ÁRULA,true,"""nombre femenino""","""Ara pequeña""",5,esp
ARZÓN,true,"""nombre masculino""","""Parte delantera o trasera que une los dos brazos longitudinales del fuste de una silla de montar barzón""",5,esp
ASAR,true,"""verbo transitivo""","""Hacer comestible un alimento por la acción directa del fuego o la del aire caldeado a veces rociando aquel con grasa o con algún líquido tostar dorar hornear emparrillar torrar tatemar rustir""",4,esp
ÁSARO,true,"""nombre masculino""","""Planta perenne de la familia de las aristoloquiáceas con rizoma rastrero hojas radicales arriñonadas y gruesas y bohordo central con flores terminales de color rojo que tira a negro Toda la planta tiene olor fuerte y nauseabundo asarabácara asáraca""",5,esp
ÁSCAR,true,"""nombre masculino""","""En conjunto de fuerzas de una nación ejército campo""",5,esp
ASEAR,true,"""verbo transitivo""","""Adornar componer con curiosidad y limpieza adecentar limpiar lavar arreglar acicalar pulir ataviar engalanar bañar aviar1 fregar higienizar aliñar desasear ensuciar acochambrar""",5,esp
ASICAR,true,"""verbo transitivo""","""Hostigar fastidiar molestar fastidiar""",6,esp
ASIR,true,"""verbo transitivo""","""Tomar o coger con la mano y en general tomar coger prender tomar agarrar coger sujetar aferrar prender aprehender enganchar afianzar empuñar atrapar pillar aprisionar atenazar apresar alcanzar trabar pescar desasir soltar""",4,esp
ABONAR,true,"""verbo transitivo""","""Acreditar garantizar que algo es bueno correcto o verdadero Su autoridad en la materia abona sus palabras acreditar garantizar avalar respaldar2""",6,esp
APONER,true,"""verbo transitivo""","""Adjuntar un nombre o una construcción nominal a un sustantivo o a un pronombre de modo que formen aposición""",6,esp
ÁSPIC,true,"""nombre masculino""","""Plato frío especialmente de carne o pescado que se presenta cubierto de gelatina en un molde""",5,esp
ÁSPID,true,"""nombre masculino""","""Víbora muy venenosa que apenas se diferencia de la culebra común más que en tener las escamas de la cabeza iguales a las del resto del cuerpo Se encuentra en los y en casi todo el centro y el norte de víbora culebra serpiente ofidio""",5,esp
ATAR,true,"""verbo transitivo""","""Unir juntar o sujetar con ligaduras o nudos ligar enlazar liar amarrar empalmar lazar sujetar trabar anudar unir juntar asegurar ceñir uncir encordonar ensogar atraillar maniatar encadenar engrillar desatar soltar""",4,esp
ATACAR,true,"""verbo transitivo""","""En un arma de fuego una mina o un barreno apretar el taco desatacar1""",6,esp
ATABE,true,"""nombre masculino""","""Abertura pequeña que dejan los fontaneros a las cañerías que suben por las paredes para desventarlas o reconocer si llega hasta allí el agua""",5,esp
ATAÚD,true,"""nombre masculino""","""Caja ordinariamente de madera donde se pone un cadáver para enterrarlo o para incinerarlo féretro caja cajón urna""",5,esp
ATERIR,true,"""verbo transitivo""","""Pasmar de frío helarse congelarse enfriarse pasmarse arrecirse aterecerse acalorarse asarse""",6,esp
ÁTICO,true,"""adjetivo""","""Natural del provincia de o de ciudad griega""",5,esp
ÁTOMO,true,"""nombre masculino""","""Partícula indivisible por métodos químicos formada por un núcleo rodeado de electrones partícula corpúsculo""",5,esp
ÁTONO,true,"""adjetivo""","""Que no tiene acento prosódico Sílaba átona atónico débil inacentuado tónico""",5,esp
ATRÁS,true,"""adverbio""","""Hacia la parte que está o queda a las espaldas de alguien o de algo adelante""",5,esp
ACLLA,true,"""nombre femenino""","""Doncella que en el imperio de los incas se destinaba al culto del Sol o al servicio del monarca""",5,esp
AULLAR,true,"""verbo intransitivo""","""Dar aullidos guarrear ladrar gañir ulular bramar otilar""",6,esp
ACUNAR,true,"""verbo transitivo""","""Mecer al niño en la cuna o en los brazos para que se duerma arrullar mecer1 abrezar""",6,esp
ARPAR,true,"""verbo transitivo""","""Arañar o rasgar con las uñas arañar rasguñar""",5,esp
ARPA,true,"""nombre femenino""","""Instrumento musical de forma triangular con cuerdas colocadas verticalmente y que se tocan con ambas manos""",4,esp
ALPES,true,"""nombre masculino poco usado""","""Monte muy alto""",5,esp
ÁUREO,true,"""adjetivo""","""De oro áurico aurífero aurígero""",5,esp
MUTAR,true,"""verbo transitivo""","""dar otro estado forma mudar2 cambiar alterar variar transformar modificar volver inmutar""",5,esp
AVATÍ,true,"""nombre masculino""","""planta maíz millo""",5,esp
AVENA,true,"""nombre femenino""","""Planta anual de la familia de las gramíneas con cañas delgadas guarnecidas de algunas hojas estrechas y flores en panoja radiada con una arista torcida más larga que la flor inserta en el dorso del cascabillo y que se cultiva para alimento""",5,esp
AVIAR,true,"""verbo transitivo""","""Prevenir o disponer algo para el camino preparar disponer aprestar prevenir""",5,esp
ARICAR,true,"""verbo transitivo""","""Arar muy superficialmente arar2 roturar""",6,esp
ÁVIDO,true,"""adjetivo""","""Ansioso codicioso ansioso codicioso anheloso afanoso ambicioso deseoso apetente hambriento sediento insaciable avaricioso apasionado ardiente vehemente angurriento chingo""",5,esp
ALIEN,true,"""adjetivo""","""extraterrestre alienígena extraterrestre marciano""",5,esp
ARIES,true,"""adjetivo""","""Dicho de una persona Nacida bajo el signo zodiacal de Yo soy aries ella es piscis""",5,esp
AVIÓN,true,"""nombre masculino""","""Pájaro especie de vencejo vencejo2""",5,esp
AGIO,true,"""nombre masculino""","""Beneficio que se obtiene del cambio de la moneda o de descontar letras pagarés""",4,esp
AZALÁ,true,"""nombre masculino""","""Entre musulmanes acción de orar oración""",5,esp
AZCÓN,true,"""nombre masculino desusado""","""azcona.""",5,esp
AZERÍ,true,"""adjetivo""","""Dicho de una persona De un pueblo caucásico que constituye la mayoría de la población de y que habita también en y otros países""",5,esp
AZUA,true,"""nombre femenino""","""bebida alcohólica de maíz chicha2""",4,esp
BACÁN,true,"""adjetivo""","""En lenguaje juvenil muy bueno estupendo genial bárbaro chévere padre chido bacano guay2""",5,esp
BACÍA,true,"""nombre femenino""","""pieza para líquidos o alimentos vasija belez""",5,esp
BACÍN,true,"""nombre masculino""","""Vasija pequeña para diversos usos vasija bacinilla bacinica""",5,esp
BACÓN,true,"""nombre masculino""","""beicon""",5,esp
BADÁN,true,"""nombre masculino desusado""","""Tronco del cuerpo del atún""",5,esp
BAHAÍ,true,"""adjetivo""","""Perteneciente o relativo al bahaísmo""",5,esp
BAHÍA,true,"""nombre femenino""","""Entrada natural de mar en la costa de extensión considerable pero generalmente menor que la de un golfo ensenada broa2 rada abra golfo1 abrigo cala2 concha ancón""",5,esp
BAÍDA,true,"""nombre femenino""","""bóveda baída.""",5,esp
BAJÍO,true,"""adjetivo""","""Dicho de un terreno o lugar Bajo y que tiende por su situación a anegarse o empantanarse akalché pantano""",5,esp
BAJÍN,true,"""nombre masculino""","""provecho obtenido con abuso de atribuciones soborno1 mordida coima2 cañonazo untada unto merusa""",5,esp
BAJÓN,true,"""nombre masculino""","""Instrumento musical de viento antecesor del fagot usado especialmente para interpretar música sacra""",5,esp
BALÍN,true,"""nombre masculino""","""Bala de fusil de menor calibre que la ordinaria postón perdigón1 bala""",5,esp
BALÓN,true,"""nombre masculino""","""Pelota grande usada en juegos o con fines terapéuticos pelota1 bola esférico cuero""",5,esp
BAMBÚ,true,"""nombre masculino""","""Planta de la familia de las gramíneas originaria de la con tallo leñoso de hasta de altura cuyas cañas aunque ligeras son muy resistentes y se emplean en la construcción y en la fabricación de muebles y otros objetos caña cañaza""",5,esp
BANCA,true,"""nombre femenino""","""Asiento de madera sin respaldo y a modo de mesa baja asiento grada1 banco""",5,esp
BANTÚ,true,"""adjetivo""","""Dicho de una persona De uno de los pueblos que hablan lenguas""",5,esp
BAQUEAR,true,"""verbo intransitivo""","""Navegar al amor del agua cuando la corriente de esta supera en rapidez a la que le daría a la nave el impulso del viento""",7,esp
BABI,true,"""nombre masculino""","""Prenda exterior a modo de blusón que se pone a los niños sobre la ropa para evitar que esta se manche o deteriore delantal guardapolvo babero""",4,esp
BAR,true,"""nombre masculino""","""Establecimiento en que se sirven bebidas y frecuentemente aperitivos o raciones de comida que pueden tomarse ante el mostrador o en mesas café cafetería taberna pub cervecería mesón1 tasca cantina boliche1""",3,esp
BARÓN,true,"""nombre masculino y femenino""","""Persona con un título nobiliario que en y en otros países es inmediatamente inferior al de vizconde""",5,esp
BARRA,true,"""nombre femenino""","""Pieza de metal u otra materia de forma generalmente prismática o cilíndrica y mucho más larga que gruesa hierro barrote eje lingote riel travesaño palo varilla tranca vara barreta1""",5,esp
BARIA,true,"""nombre femenino""","""Unidad de presión del sistema cegesimal equivalente a dina por centímetro cuadrado""",5,esp
BATÍN,true,"""nombre masculino""","""Bata con faldas cortas que llega solo un poco más abajo de la cintura""",5,esp
