word,status,qualification,definition,length,language,,
ABATE,true,Sustantivo masculino,"""Religión: Clérigo por lo común de órdenes menores vestido de hábito clerical a la romana.""",5,esp,,
ABATI,true,Sustantivo masculino,"""Alimentos: Maíz.""",5,esp,,
ABATO,true,verbo transitivo,"""1. Derribar algo derrocarlo echarlo por tierra derribar derribar tirar tirar derrumbar derrumbar desmantelar desmantelar destruir destruir derrocar derrocar aterrar1 aterrar1 construir construir""",5,esp,,
ABECE,null,N/A,"""N/A""",5,esp,,
ABEJA,true,Sustantivo femenino,"""Insectos, Apicultura: (Apis spp.) Insecto himenóptero volador, de color pardo oscuro, y que según las especies puede vivir en solitario o formando grandes colonias. Poseen un aguijón capaz de producir una picadura muy dolorosa. Se alimentan del polen y del néctar de las flores, contribuyendo eficazmente a su polinización. Las especies sociales pueden llegar a producir grandes cantidades de miel, polen y cera, por lo que han sido utilizadas por el hombre para su beneficio desde tiempos muy remotos.""",5,esp,,
ABETE,true,Sustantivo masculino,"""Abeto""",5,esp,,
ABETO,true,Sustantivo masculino,"""Árboles: (Abies balsamea) Árbol de tipo conífera de entre 20 a 40 m de altura y de hojas persistentes, que crece en parajes frescos. Su madera sirve para construcciones y para instrumentos músicos de cuerda, y de su corteza se saca la trementina y la colofonia. Es de tronco recto y desarrollo piramidal. Es el árbol típico de las decoraciones de Navidad.""",5,esp,,
ABIAR,true,nombre masculino,"""1.""",5,esp,,
ABIAS,true,nombre femenino,"""1.""",5,esp,,
ABINA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de abinar.""",5,esp,,
ABINE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de abinar.""",5,esp,,
ABINO,null,N/A,"""N/A""",5,esp,,
ABITA,true,verbo transitivo,"""1. Amarrar un cabo rodeando las bitas bitar bitar amarrar amarrar desamarrar desamarrar desatar desatar""",5,esp,,
ABITE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de abitar.""",5,esp,,
ABITO,true,verbo transitivo,"""1. Amarrar un cabo rodeando las bitas bitar bitar amarrar amarrar desamarrar desamarrar desatar desatar""",5,esp,,
ABOBA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de abobar.""",5,esp,,
ABOBE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de abobar.""",5,esp,,
ABOBO,true,verbo transitivo,"""1. Hacer bobo a alguien entorpecerle el uso de las facultades intelectuales atontar atontar alelar alelar entontecer entontecer idiotizar idiotizar apendejarse apendejarse adundarse adundarse espabilar espabilar despabilar despabilar""",5,esp,,
ABOCA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de abocar.""",5,esp,,
ABOCO,true,verbo transitivo,"""1. Verter el contenido de un cántaro costal en otro propiamente cuando para se aproximan las bocas de ambos verter verter trasvasar trasvasar envasar envasar""",5,esp,,
ABOFA,true,verbo pronominal,"""1. y Afofarse hincharse abotagarse""",5,esp,,
ABOFE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de abofarse.""",5,esp,,
ABOFO,true,verbo pronominal,"""1. y Afofarse hincharse abotagarse""",5,esp,,
ABOGA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de abogar.""",5,esp,,
ABOGO,true,verbo intransitivo,"""1. Defender en juicio por escrito o de palabra defender defender interceder interceder mediar mediar proteger proteger apoyar2 apoyar2 respaldar2 respaldar2 auxiliar2 auxiliar2 ayudar ayudar patrocinar patrocinar acuerpar acuerpar acusar acusar""",5,esp,,
ABOLI,true,Forma verbal,"""Primera persona del singular del pretérito perfecto simple de indicativo de abolir.""",5,esp,,
ABONA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de abonar.""",5,esp,,
ABONE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de abonar.""",5,esp,,
ABONO,true,Sustantivo masculino,"""Sustancia que se echa en la tierra laborable para que aumente su fertilidad.""",5,esp,,
ABOYA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de aboyar.""",5,esp,,
ABOYE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de aboyar.""",5,esp,,
ABOYO,true,verbo transitivo,"""1. Poner boyas""",5,esp,,
ABOZO,null,N/A,"""N/A""",5,esp,,
ABRAN,true,Forma verbal,"""Tercera persona del plural del presente de subjuntivo de abrir.""",5,esp,,
ABRAS,null,N/A,"""N/A""",5,esp,,
ABREN,true,verbo transitivo,"""1. Descubrir o hacer patente lo que está cerrado u oculto Abrirunacaja. Abrir una caja Abrirunaposento. Abrir un aposento destapar destapar descerrar descerrar entreabrir entreabrir desabrochar desabrochar descubrir descubrir cerrar cerrar tapar tapar cubrir cubrir""",5,esp,,
ABRES,true,verbo transitivo,"""1. Descubrir o hacer patente lo que está cerrado u oculto Abrirunacaja. Abrir una caja Abrirunaposento. Abrir un aposento destapar destapar descerrar descerrar entreabrir entreabrir desabrochar desabrochar descubrir descubrir cerrar cerrar tapar tapar cubrir cubrir""",5,esp,,
ABRIA,true,Forma verbal,"""Primera persona del singular del pretérito imperfecto de indicativo de abrir.""",5,esp,,
ABRID,true,verbo transitivo,"""1. Descubrir o hacer patente lo que está cerrado u oculto Abrirunacaja. Abrir una caja Abrirunaposento. Abrir un aposento destapar destapar descerrar descerrar entreabrir entreabrir desabrochar desabrochar descubrir descubrir cerrar cerrar tapar tapar cubrir cubrir""",5,esp,,
ABRIL,true,Sustantivo masculino,"""Meses: Cuarto mes del año en el calendario gregoriano, entre marzo y mayo. Consta de 30 días.""",5,esp,,
ABRIO,null,N/A,"""N/A""",5,esp,,
ABRIR,true,Verbo transitivo,"""Remover la tapa o la cubierta de algo, haciéndolo visible.""",5,esp,,
ABRIS,true,Forma verbal,"""Segunda persona del singular (vos) del presente de indicativo de abrir.""",5,esp,,
ABSIT,true,interjección,"""1. Manifiesta el rechazo de quien habla hacia algo que considera pernicioso o negativo""",5,esp,,
ABUBO,null,N/A,"""N/A""",5,esp,,
ABUCE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de abuzarse.""",5,esp,,
ABUJE,true,nombre masculino,"""1. Ácaro de colo se cría en las hierbas de donde pasa al cuerpo de las personas y les produce un picor insoportable""",5,esp,,
ABURA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de aburar.""",5,esp,,
ABURE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de aburar.""",5,esp,,
ABURO,true,verbo transitivo,"""1. Quemar abrasar""",5,esp,,
ABUSA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de abusar.""",5,esp,,
ABUSE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de abusar.""",5,esp,,
ABUSO,true,Sustantivo masculino,"""Acción y efecto de abusar.""",5,esp,,
ABUZA,true,verbo pronominal,"""1. Echarse de bruces especialmente para beber""",5,esp,,
ABUZO,true,verbo pronominal,"""1. Echarse de bruces especialmente para beber""",5,esp,,
ACABA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acabar.""",5,esp,,
ACABE,true,Sustantivo masculino,"""Acción o efecto de acabar""",5,esp,,
ACABO,true,nombre masculino,"""1. efecto o cumplimiento de algo acabamiento acabamiento cumplimiento cumplimiento""",5,esp,,
ACAMA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acamar.""",5,esp,,
ACAME,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de acamar.""",5,esp,,
ACAMO,true,verbo transitivo,"""1. Dicho de la lluvia del viento Hacer que se tiendan o recuesten las mieses el cáñamo el lino u otros vegetales semejantes""",5,esp,,
ACANA,true,Sustantivo femenino,"""Árboles: (Manilkara zapota) Árbol de América de Sur, de 8 a 10 m de altura de madera compacta y recia que se emplea en construcción.""",5,esp,,
ACARA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acarar.""",5,esp,,
ACARE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de acarar.""",5,esp,,
ACARO,true,verbo transitivo,"""1. Poner cara a cara""",5,esp,,
ACASO,true,Adverbio de duda,"""Quizá, tal vez.""",5,esp,,
ACATA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acatar.""",5,esp,,
ACATE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de acatar.""",5,esp,,
ACATO,true,nombre masculino,"""1. acatamiento acatamiento obediencia obediencia sumisión sumisión respeto respeto pleitesía pleitesía acatamiento acatamiento desacato desacato desobediencia desobediencia""",5,esp,,
ACEBO,true,nombre masculino,"""1. Árbol silvestre de la familia de las aquifoliáceas de cuatro a seis metros de altura poblado todo el año de hojas de color verde oscuro lustrosas crespas y con espinas en su margen flores blancas y fruto en drupa rojiza cuya madera que es blanca flexible muy dura y compacta se emplea en ebanistería y tornería agrifolio agrifolio aquifolio aquifolio asa3 asa3""",5,esp,,
ACECE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de acezar.""",5,esp,,
ACEDA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acedar.""",5,esp,,
ACEDE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de acedar.""",5,esp,,
ACEDO,true,Adjetivo,"""Que tiene uno de los sabores básicos, como el del limón o el vinagre, producido por la concentración de iones hidronios""",5,esp,,
ACEMA,true,nombre femenino,"""1. Pan dulce en forma de disco elaborado con harina de trigo y bicarbonato sódico y condimentado con anís y papelón""",5,esp,,
ACEÑA,true,nombre femenino,"""1. Molino harinero de agua situado en el cauce de un río molino molino""",5,esp,,
ACEPA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acepar.""",5,esp,,
ACEPE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de acepar.""",5,esp,,
ACEPO,true,verbo intransitivo,"""1. echar raíces una planta encepar encepar""",5,esp,,
ACERA,true,Sustantivo femenino,"""Orilla de la calle por la que se efectúa el tránsito peatonal.""",5,esp,,
ACERE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de acerar.""",5,esp,,
ACERO,true,Sustantivo masculino,"""Metalurgia: Aleación metálica obtenida de la adición de carbono y otros elementos en pequeñas cantidades (manganeso, sicilio y elementos residuales) al mineral de hierro, para producir un material de mayor dureza y resistencia.""",5,esp,,
ACETA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acetar.""",5,esp,,
ACETO,true,Sustantivo masculino,"""Alimentos: Zumo agrio producido por la fermentación del vino, la sidra u otras bebidas alcohólicas, al transformarse el etanol en ácido acético, muy apreciado como aderezo""",5,esp,,
ACEZA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acezar.""",5,esp,,
ACEZO,true,nombre masculino,"""1. Acción y efecto de acezar""",5,esp,,
ACHIN,true,Sustantivo masculino,"""Persona que vende objetos de bajo precio de manera ambulante.""",5,esp,,
ACHIS,null,N/A,"""N/A""",5,esp,,
ACIAL,true,Sustantivo masculino,"""Instrumento de un palmo de largo formado por dos palos fuertes dentados o por dos barretas de hierro, unidas en uno de los extremos por un gonce y en el otro por una cuerda que se aprieta a voluntad, después de haber cogido entre dos palos el belfo superior de una bestia, a fin de sujetarla para que se deje herrar, esquilar o hacer otra cosa a la que la bestia se resista.""",5,esp,,
ACIAR,null,N/A,"""N/A""",5,esp,,
ACIDA,true,nombre femenino,"""1. Cada uno de los compuestos que contienen el grupo funcional cuyos derivados metálicos se utilizan como detonadores y explosivos""",5,esp,,
ACIDO,true,Adjetivo,"""Que tiene uno de los sabores básicos, como el del limón o el vinagre, producido por la concentración de iones hidronios.""",5,esp,,
ACIJE,null,N/A,"""N/A""",5,esp,,
ACILO,true,nombre masculino,"""1. Radical orgánico derivado de un ácido carboxílico por pérdida del hidroxilo""",5,esp,,
ACIMO,null,N/A,"""N/A""",5,esp,,
ACION,null,N/A,"""N/A""",5,esp,,
ACLES,true,nombre masculino,"""1. Árbol del archipiélago filipino de la familia de las mimosáceas de más de de altura con tronco recto y grueso hojas divididas en hojuelas opuestas anchas y lanceoladas flores blanquecinas en cabezuelas y fruto en legumbre leñosa con semillas ovales de un centímetro de longitud Su madera de color pardo rojizo es muy buena para la construcción de edificios y de buques""",5,esp,,
ACLLA,true,nombre femenino,"""1. Doncella que en el imperio de los incas se destinaba al culto del Sol o al servicio del monarca""",5,esp,,
ACMES,null,N/A,"""N/A""",5,esp,,
ACNES,null,N/A,"""N/A""",5,esp,,
ACOCA,true,verbo pronominal,"""1. Dicho de un fruto Criar gusanos""",5,esp,,
ACOCO,true,verbo pronominal,"""1. Dicho de un fruto Criar gusanos""",5,esp,,
ACODA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acodar.""",5,esp,,
ACODE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de acodar.""",5,esp,,
ACODO,true,nombre masculino,"""1. Vástago acodado sarmiento sarmiento codal codal mugrón mugrón codadura codadura""",5,esp,,
ACOGE,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acoger.""",5,esp,,
ACOGI,null,N/A,"""N/A""",5,esp,,
ACOJA,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de acoger.""",5,esp,,
ACOJO,true,verbo transitivo,"""1. Dicho de una persona Admitir en su casa o compañía a alguien Acogióenvacacionesaunniñosaharaui. Acogió en vacaciones a un niño saharaui albergar albergar alojar alojar hospedar hospedar aposentar aposentar expulsar expulsar""",5,esp,,
ACOLA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acolar.""",5,esp,,
ACOLE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de acolar.""",5,esp,,
ACOLO,true,verbo transitivo,"""1. Unir juntar abrazar unir unir juntar juntar combinar combinar""",5,esp,,
ACOPA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acopar.""",5,esp,,
ACOPE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de acopar.""",5,esp,,
ACOPO,true,verbo transitivo,"""1. Hacer que las plantas formen buena copa""",5,esp,,
ACORA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acorar.""",5,esp,,
ACORE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de acorar.""",5,esp,,
ACORO,true,verbo pronominal,"""1. Enfermar desmedrar""",5,esp,,
ACOSA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acosar.""",5,esp,,
ACOSE,true,nombre masculino,"""1. acoso acoso acosamiento acosamiento persecución persecución asedio asedio cacería cacería hostigamiento hostigamiento presión presión acorralamiento acorralamiento arrinconamiento arrinconamiento agobio agobio atosigamiento atosigamiento insistencia insistencia incordio incordio molestia molestia""",5,esp,,
ACOSO,true,Sustantivo masculino,"""Acción o efecto de acosar.""",5,esp,,
ACOTA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acotar.""",5,esp,,
ACOTE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de acotar.""",5,esp,,
ACOTO,true,verbo transitivo,"""1. Reservar el uso y aprovechamiento de un terreno manifestándolo por medio de cotos puestos en sus lindes o de otra manera legal delimitar delimitar circunscribir circunscribir fijar fijar limitar limitar cercar cercar vallar2 vallar2 amojonar amojonar postear postear""",5,esp,,
ACRES,true,nombre masculino,"""1. Medida inglesa de superficie equivalente a áreas y centiáreas""",5,esp,,
ACROE,null,N/A,"""N/A""",5,esp,,
ACROY,true,nombre masculino,"""1. Gentilhombre de la casa de que acompañaba al soberano en ciertos actos públicos y lo seguía a la guerra""",5,esp,,
ACTAS,true,nombre femenino,"""1. Relación escrita de lo sucedido tratado o acordado en una junta relación relación relato relato memoria memoria reseña reseña""",5,esp,,
ACTEA,null,N/A,"""N/A""",5,esp,,
ACTOR,true,Sustantivo masculino,"""Persona que actúa o representa un papel en una obra de teatro, cine, radio o televisión.""",5,esp,,
ACTOS,true,nombre masculino,"""1. ejercicio de la posibilidad de hacer hecho hecho acción acción operación operación obra obra actividad actividad""",5,esp,,
ACTUA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de actuar.""",5,esp,,
ACTUE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de actuar.""",5,esp,,
ACTUO,null,N/A,"""N/A""",5,esp,,
ACUDA,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de acudir.""",5,esp,,
ACUDE,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acudir.""",5,esp,,
ACUDI,true,Forma verbal,"""Primera persona del singular del pretérito perfecto simple de indicativo de acudir.""",5,esp,,
ACUDO,true,verbo intransitivo,"""1. Dicho de una persona Ir al sitio adonde le conviene o es llamada asistir asistir ir ir presentarse presentarse afluir afluir faltar faltar""",5,esp,,
ACUEA,null,N/A,"""N/A""",5,esp,,
ACUEO,null,N/A,"""N/A""",5,esp,,
ACULA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acular.""",5,esp,,
ACULE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de acular.""",5,esp,,
ACULO,true,verbo transitivo,"""1. Hacer que un animal un carro quede arrimado por detrás a alguna parte""",5,esp,,
ACUNA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acunar.""",5,esp,,
ACUNE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de acunar.""",5,esp,,
ACUNO,true,verbo transitivo,"""1. Mecer al niño en la cuna o en los brazos para que se duerma arrullar arrullar mecer1 mecer1 abrezar abrezar""",5,esp,,
ACUÑA,true,verbo transitivo,"""1. Imprimir y sellar una pieza de metal especialmente una moneda o una medalla por medio de cuño o troquel grabar grabar estampar estampar imprimir imprimir cuñar cuñar""",5,esp,,
ACUÑE,true,verbo transitivo,"""1. Imprimir y sellar una pieza de metal especialmente una moneda o una medalla por medio de cuño o troquel grabar grabar estampar estampar imprimir imprimir cuñar cuñar""",5,esp,,
ACUÑO,true,verbo transitivo,"""1. Imprimir y sellar una pieza de metal especialmente una moneda o una medalla por medio de cuño o troquel grabar grabar estampar estampar imprimir imprimir cuñar cuñar""",5,esp,,
ACURE,true,nombre masculino,"""1. y Roedor del tamaño de un conejo de carne comestible que vive en domesticidad en varios países de cuy cuy agutí agutí cobaya cobaya""",5,esp,,
ACUSA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de acusar.""",5,esp,,
ACUSE,true,Sustantivo masculino,"""Acción o efecto de acusar o notificar que se ha recibido una carta, mensaje o comunicación.""",5,esp,,
ACUSO,true,verbo transitivo,"""1. Señalar a alguien atribuyéndole la culpa de una falta de un delito o de un hecho reprobable achacar achacar imputar imputar denunciar denunciar delatar delatar culpar culpar inculpar inculpar incriminar incriminar sindicar sindicar sapear sapear""",5,esp,,
ACUTA,true,adjetivo desusado,"""1.""",5,esp,,
ACUTI,null,N/A,"""N/A""",5,esp,,
ACUTO,true,adjetivo desusado,"""1.""",5,esp,,
ACUYO,true,nombre masculino,"""1. arbusto piperáceo""",5,esp,,
ADALA,null,N/A,"""N/A""",5,esp,,
ADAMA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de adamar.""",5,esp,,
ADAME,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de adamar.""",5,esp,,
ADAMO,null,N/A,"""N/A""",5,esp,,
ADAZA,true,Sustantivo femenino,"""Plantas: (Sorghum spp.) Sorgo (género de plantas gramíneas, en particular el Sorghum bicolor, que se cultiva como cereal y forraje).""",5,esp,,
ADEMA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de ademar.""",5,esp,,
ADEME,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de ademar.""",5,esp,,
ADEMO,true,verbo transitivo,"""1. Poner ademes""",5,esp,,
ADIAD,true,verbo transitivo poco usado,"""1. Señalar o fijar día fechar fechar citar citar convocar convocar emplazar1 emplazar1""",5,esp,,
ADIAN,null,N/A,"""N/A""",5,esp,,
ADIAR,true,verbo transitivo poco usado,"""1. Señalar o fijar día fechar fechar citar citar convocar convocar emplazar1 emplazar1""",5,esp,,
ADIAS,null,N/A,"""N/A""",5,esp,,
ADIEN,true,Forma verbal,"""Tercera persona del plural del presente de subjuntivo de adiar.""",5,esp,,
ADIES,null,N/A,"""N/A""",5,esp,,
ADIOS,true,Interjección,"""Expresión de despedida utilizada entre dos personas de trato formal, sin importar el momento del día ni las circunstancias.""",5,esp,,
ADIVA,true,nombre femenino,"""1. adive adive""",5,esp,,
ADIVE,true,nombre masculino,"""1. Mamífero carnívoro originario de parecido al zorro de color leonado por el lomo y blanco amarillento por el vientre que en el siglo XVI se utilizó en como animal doméstico o de compañía adiva adiva""",5,esp,,
ADOBA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de adobar.""",5,esp,,
ADOBE,true,Sustantivo masculino,"""Construcción: Masa de barro sin cocción, a veces mezclada con paja o algún otro aditivo, secada al sol y al aire, empleado como material de construcción.""",5,esp,,
ADOBO,true,nombre masculino,"""1. Acción y efecto de adobar aliño aliño aderezo aderezo salazón salazón""",5,esp,,
ADORA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de adorar.""",5,esp,,
ADORE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de adorar.""",5,esp,,
ADORO,true,nombre masculino desusado,"""1.""",5,esp,,
ADOSA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de adosar.""",5,esp,,
ADOSE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de adosar.""",5,esp,,
ADOSO,true,verbo transitivo,"""1. Poner una cosa por su espalda o por los lados contigua a otra o apoyada en ella juntar juntar unir unir arrimar arrimar aproximar aproximar acercar acercar yuxtaponer yuxtaponer pegar pegar apoyar2 apoyar2 separar separar""",5,esp,,
ADRAD,true,verbo transitivo,"""1. Repartir las aguas para el riego""",5,esp,,
ADRAL,true,nombre masculino,"""1. Cada uno de los zarzos o tablas que se ponen en los costados del carro para que no se caiga lo que va en él tablar1 tablar1 costana costana tapial tapial""",5,esp,,
ADRAN,true,verbo transitivo,"""1. Repartir las aguas para el riego""",5,esp,,
ADRAR,true,verbo transitivo,"""1. Repartir las aguas para el riego""",5,esp,,
ADRAS,null,N/A,"""N/A""",5,esp,,
ADREN,true,Forma verbal,"""Tercera persona del plural del presente de subjuntivo de adrar.""",5,esp,,
ADRES,true,verbo transitivo,"""1. Repartir las aguas para el riego""",5,esp,,
ADUAR,true,nombre masculino,"""1. Campamento de beduinos formado por tiendas y chozas campamento campamento""",5,esp,,
ADUCE,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de aducir.""",5,esp,,
ADUCI,null,N/A,"""N/A""",5,esp,,
ADUFE,true,Sustantivo masculino,"""Instrumentos musicales: Instrumento musical de origen morisco parecido a la pandereta.""",5,esp,,
ADUJA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de adujar.""",5,esp,,
ADUJE,true,Forma verbal,"""Primera persona del singular del pretérito perfecto simple de indicativo de aducir.""",5,esp,,
ADUJO,true,Forma verbal,"""Tercera persona del singular del pretérito perfecto simple de indicativo de aducir.""",5,esp,,
ADULA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de adular.""",5,esp,,
ADULE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de adular.""",5,esp,,
ADULO,true,verbo transitivo,"""1. Hacer o decir con intención a veces inmoderadamente lo que se cree que puede agradar a otro lisonjear lisonjear halagar halagar alabar alabar loar loar piropear piropear camelar camelar cepillar cepillar lamber lamber lambisquear lambisquear lambetear lambetear copalear copalear lustrar lustrar incensar incensar criticar criticar vituperar vituperar""",5,esp,,
ADUNA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de adunar.""",5,esp,,
ADUNE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de adunar.""",5,esp,,
ADUNO,true,verbo transitivo,"""1. Unir juntar congregar juntar juntar reunir reunir congregar congregar unificar unificar unir unir concertar concertar separar separar""",5,esp,,
ADURA,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de adurir.""",5,esp,,
ADURE,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de adurir.""",5,esp,,
ADURI,true,Forma verbal,"""Primera persona del singular del pretérito perfecto simple de indicativo de adurir.""",5,esp,,
ADURO,true,adverbio desusado,"""1. casi no""",5,esp,,
ADVEN,null,N/A,"""N/A""",5,esp,,
AEDAS,true,nombre masculino,"""1. aedo aedo rapsoda rapsoda trovador trovador bardo1 bardo1 vate vate""",5,esp,,
AEDOS,true,nombre masculino,"""1. Cantor épico de la antigua rapsoda rapsoda trovador trovador bardo1 bardo1 vate vate aeda aeda""",5,esp,,
AEREA,null,N/A,"""N/A""",5,esp,,
AEREO,true,Adjetivo,"""Que pertenece o concierne a aire.""",5,esp,,
AETAS,true,adjetivo,"""1. Indígena de las montañas de que se distingue por su estatura pequeña y color pardo muy oscuro""",5,esp,,
AFACA,null,N/A,"""N/A""",5,esp,,
AFACE,null,N/A,"""N/A""",5,esp,,
AFAGA,null,N/A,"""N/A""",5,esp,,
AFAGO,null,N/A,"""N/A""",5,esp,,
AFAMA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de afamar.""",5,esp,,
AFAME,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de afamar.""",5,esp,,
AFAMO,true,verbo transitivo,"""1. Hacer famoso dar fama prestigiar2 prestigiar2 acreditar acreditar desprestigiar desprestigiar calumniar calumniar desacreditar desacreditar""",5,esp,,
AFANA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de afanar.""",5,esp,,
AFANE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de afanar.""",5,esp,,
AFANO,true,nombre masculino coloquial,"""1. acción de robar rapacería1 rapacería1 robo1 robo1 facho facho rapto rapto""",5,esp,,
AFARA,null,N/A,"""N/A""",5,esp,,
AFARE,null,N/A,"""N/A""",5,esp,,
