word,status,calification,definition,word_length,language
ABOZO,null,null,null,null,null
ABRAN,true,"""verbo transitivo""","""Descubrir o hacer patente lo que está cerrado u oculto Abrir una caja Abrir un aposento destapar descerrar entreabrir desabrochar descubrir cerrar tapar cubrir""",5,esp
ABRAS,null,null,null,null,null
ABREN,true,"""verbo transitivo""","""Descubrir o hacer patente lo que está cerrado u oculto Abrir una caja Abrir un aposento destapar descerrar entreabrir desabrochar descubrir cerrar tapar cubrir""",5,esp
ABRES,true,"""verbo transitivo""","""Descubrir o hacer patente lo que está cerrado u oculto Abrir una caja Abrir un aposento destapar descerrar entreabrir desabrochar descubrir cerrar tapar cubrir""",5,esp
ABRIA,null,null,null,null,null
ABRID,true,"""verbo transitivo""","""Descubrir o hacer patente lo que está cerrado u oculto Abrir una caja Abrir un aposento destapar descerrar entreabrir desabrochar descubrir cerrar tapar cubrir""",5,esp
ABRIL,true,"""nombre masculino""","""Cuarto mes del año que tiene días""",5,esp
ABRIO,null,null,null,null,null
ABRIR,true,"""verbo transitivo""","""Descubrir o hacer patente lo que está cerrado u oculto Abrir una caja Abrir un aposento destapar descerrar entreabrir desabrochar descubrir cerrar tapar cubrir""",5,esp
ABRIS,null,null,null,null,null
ABSIT,true,"""interjección""","""Manifiesta el rechazo de quien habla hacia algo que considera pernicioso o negativo""",5,esp
ABUBO,null,null,null,null,null
ABUCE,true,"""verbo pronominal""","""Echarse de bruces especialmente para beber""",5,esp
ABUJE,true,"""nombre masculino""","""Ácaro de color rojo que se cría en las hierbas de donde pasa al cuerpo de las personas y les produce un picor insoportable""",5,esp
ABURA,true,"""verbo transitivo""","""Quemar abrasar""",5,esp
ABURE,true,"""verbo transitivo""","""Quemar abrasar""",5,esp
ABURO,true,"""verbo transitivo""","""Quemar abrasar""",5,esp
ABUSA,true,"""verbo intransitivo""","""Hacer uso excesivo injusto o indebido de algo o de alguien Abusaba de su autoridad atropellar aprovecharse excederse explotar1 extralimitarse""",5,esp
ABUSE,true,"""verbo intransitivo""","""Hacer uso excesivo injusto o indebido de algo o de alguien Abusaba de su autoridad atropellar aprovecharse excederse explotar1 extralimitarse""",5,esp
ABUSO,true,"""nombre masculino""","""Acción y efecto de abusar exceso extralimitación exageración injusticia atropello violación estupro moderación""",5,esp
ABUZA,true,"""verbo pronominal""","""Echarse de bruces especialmente para beber""",5,esp
ABUZO,true,"""verbo pronominal""","""Echarse de bruces especialmente para beber""",5,esp
ACABA,true,"""verbo transitivo""","""Poner o dar fin a algo terminar concluir finalizar finiquitar rematar ultimar culminar liquidar consumar empezar iniciar principiar comenzar emprender""",5,esp
ACABE,true,"""nombre masculino""","""Fiesta con baile que los recolectores y demás peonajes de las haciendas de café celebran después de terminada la recolección del grano""",5,esp
ACABO,true,"""nombre masculino""","""efecto o cumplimiento de algo acabamiento cumplimiento""",5,esp
ACAMA,true,"""verbo transitivo""","""Dicho de la lluvia del viento Hacer que se tiendan o recuesten las mieses el cáñamo el lino u otros vegetales semejantes""",5,esp
ACAME,true,"""verbo transitivo""","""Dicho de la lluvia del viento Hacer que se tiendan o recuesten las mieses el cáñamo el lino u otros vegetales semejantes""",5,esp
ACAMO,true,"""verbo transitivo""","""Dicho de la lluvia del viento Hacer que se tiendan o recuesten las mieses el cáñamo el lino u otros vegetales semejantes""",5,esp
ACANA,null,null,null,null,null
ACARA,true,"""verbo transitivo""","""Poner cara a cara""",5,esp
ACARE,true,"""verbo transitivo""","""Poner cara a cara""",5,esp
ACARO,true,"""verbo transitivo""","""Poner cara a cara""",5,esp
ACASO,true,"""nombre masculino""","""Casualidad suceso imprevisto casualidad azar eventualidad""",5,esp
ACATA,true,"""verbo transitivo""","""Tributar homenaje de sumisión y respeto respetar reverenciar venerar desacatar desobedecer""",5,esp
ACATE,true,"""verbo transitivo""","""Tributar homenaje de sumisión y respeto respetar reverenciar venerar desacatar desobedecer""",5,esp
ACATO,true,"""nombre masculino""","""acatamiento obediencia sumisión respeto pleitesía acatamiento desacato desobediencia""",5,esp
ACEBO,true,"""nombre masculino""","""Árbol silvestre de la familia de las aquifoliáceas de cuatro a seis metros de altura poblado todo el año de hojas de color verde oscuro lustrosas crespas y con espinas en su margen flores blancas y fruto en drupa rojiza cuya madera que es blanca flexible muy dura y compacta se emplea en ebanistería y tornería agrifolio aquifolio asa3""",5,esp
ACECE,true,"""verbo intransitivo""","""jadear resoplar resollar harbar""",5,esp
ACEDA,true,"""adjetivo""","""ácido agrio acidulado dulce""",5,esp
ACEDE,true,"""verbo transitivo""","""Poner acedo o agrio algo avinagrarse agriarse acidular acidificarse acetificar""",5,esp
ACEDO,true,"""adjetivo""","""ácido agrio acidulado dulce""",5,esp
ACEMA,true,"""nombre femenino""","""Pan dulce en forma de disco elaborado con harina de trigo y bicarbonato sódico y condimentado con anís y papelón""",5,esp
ACEÑA,true,"""nombre femenino""","""Molino harinero de agua situado en el cauce de un río molino""",5,esp
ACEPA,true,"""verbo intransitivo""","""echar raíces una planta encepar""",5,esp
ACEPE,true,"""verbo intransitivo""","""echar raíces una planta encepar""",5,esp
ACEPO,true,"""verbo intransitivo""","""echar raíces una planta encepar""",5,esp
ACERA,true,"""nombre femenino""","""Orilla de la calle o de otra vía pública por lo general ligeramente elevada y enlosada situada junto a las fachadas de las casas y particularmente reservada al tránsito de peatones andén vereda orilla1 banqueta""",5,esp
ACERE,true,"""verbo transitivo""","""Dar al hierro las propiedades del acero""",5,esp
ACERO,true,"""nombre masculino""","""Aleación de hierro y carbono en la que este entra en una proporción entre el y el y que según su tratamiento adquiere especial elasticidad dureza o resistencia""",5,esp
ACETA,true,"""nombre masculino desusado""","""líquido agrio""",5,esp
ACETO,true,"""nombre masculino desusado""","""líquido agrio""",5,esp
ACEZA,true,"""verbo intransitivo""","""jadear resoplar resollar harbar""",5,esp
ACEZO,true,"""nombre masculino""","""Acción y efecto de acezar""",5,esp
ACHIN,null,null,null,null,null
ACHIS,null,null,null,null,null
ACIAL,true,"""nombre masculino""","""Instrumento con que se oprime un labio la parte superior del hocico o una oreja de las bestias para que estén quietas mientras las hierran curan o esquilan arcial torcedor""",5,esp
ACIAR,null,null,null,null,null
ACIDA,true,"""nombre femenino""","""Cada uno de los compuestos que contienen el grupo funcional cuyos derivados metálicos se utilizan como detonadores y explosivos""",5,esp
ACIDO,null,null,null,null,null
ACIJE,null,null,null,null,null
ACILO,true,"""nombre masculino""","""Radical orgánico derivado de un ácido carboxílico por pérdida del hidroxilo""",5,esp
ACIMO,null,null,null,null,null
ACION,null,null,null,null,null
ACLES,true,"""nombre masculino""","""Árbol del archipiélago filipino de la familia de las mimosáceas de más de de altura con tronco recto y grueso hojas divididas en hojuelas opuestas anchas y lanceoladas flores blanquecinas en cabezuelas y fruto en legumbre leñosa con semillas ovales de un centímetro de longitud Su madera de color pardo rojizo es muy buena para la construcción de edificios y de buques""",5,esp
ACLLA,true,"""nombre femenino""","""Doncella que en el imperio de los incas se destinaba al culto del Sol o al servicio del monarca""",5,esp
ACMES,null,null,null,null,null
ACNES,null,null,null,null,null
ACOCA,true,"""verbo pronominal""","""Dicho de un fruto Criar gusanos""",5,esp
ACOCO,true,"""verbo pronominal""","""Dicho de un fruto Criar gusanos""",5,esp
ACODA,true,"""verbo transitivo""","""Apoyar el codo sobre alguna parte por lo común para sostener con la mano la cabeza apoyar2""",5,esp
ACODE,true,"""verbo transitivo""","""Apoyar el codo sobre alguna parte por lo común para sostener con la mano la cabeza apoyar2""",5,esp
ACODO,true,"""nombre masculino""","""Vástago acodado sarmiento codal mugrón codadura""",5,esp
ACOGE,true,"""verbo transitivo""","""Dicho de una persona Admitir en su casa o compañía a alguien Acogió en vacaciones a un niño saharaui albergar alojar hospedar aposentar expulsar""",5,esp
ACOGI,null,null,null,null,null
ACOJA,true,"""verbo transitivo""","""Dicho de una persona Admitir en su casa o compañía a alguien Acogió en vacaciones a un niño saharaui albergar alojar hospedar aposentar expulsar""",5,esp
ACOJO,true,"""verbo transitivo""","""Dicho de una persona Admitir en su casa o compañía a alguien Acogió en vacaciones a un niño saharaui albergar alojar hospedar aposentar expulsar""",5,esp
ACOLA,true,"""verbo transitivo""","""Unir juntar abrazar unir juntar combinar""",5,esp
ACOLE,true,"""verbo transitivo""","""Unir juntar abrazar unir juntar combinar""",5,esp
ACOLO,true,"""verbo transitivo""","""Unir juntar abrazar unir juntar combinar""",5,esp
ACOPA,true,"""verbo transitivo""","""Hacer que las plantas formen buena copa""",5,esp
ACOPE,true,"""verbo transitivo""","""Hacer que las plantas formen buena copa""",5,esp
ACOPO,true,"""verbo transitivo""","""Hacer que las plantas formen buena copa""",5,esp
ACORA,true,"""verbo pronominal""","""Enfermar desmedrar""",5,esp
ACORE,true,"""verbo pronominal""","""Enfermar desmedrar""",5,esp
ACORO,true,"""verbo pronominal""","""Enfermar desmedrar""",5,esp
ACOSA,true,"""verbo transitivo""","""Perseguir sin darle tregua ni reposo a un animal o a una persona perseguir asediar hostigar acorralar presionar apremiar insistir importunar molestar incordiar fatigar""",5,esp
ACOSE,true,"""nombre masculino""","""acoso acosamiento persecución asedio cacería hostigamiento presión acorralamiento arrinconamiento agobio atosigamiento insistencia incordio molestia""",5,esp
ACOSO,true,"""nombre masculino""","""Acción y efecto de acosar acose acosamiento persecución asedio cacería hostigamiento presión acorralamiento arrinconamiento agobio atosigamiento insistencia incordio molestia""",5,esp
ACOTA,true,"""verbo transitivo""","""Reservar el uso y aprovechamiento de un terreno manifestándolo por medio de cotos puestos en sus lindes o de otra manera legal delimitar circunscribir fijar limitar cercar vallar2 amojonar postear""",5,esp
ACOTE,true,"""verbo transitivo""","""Reservar el uso y aprovechamiento de un terreno manifestándolo por medio de cotos puestos en sus lindes o de otra manera legal delimitar circunscribir fijar limitar cercar vallar2 amojonar postear""",5,esp
ACOTO,true,"""verbo transitivo""","""Reservar el uso y aprovechamiento de un terreno manifestándolo por medio de cotos puestos en sus lindes o de otra manera legal delimitar circunscribir fijar limitar cercar vallar2 amojonar postear""",5,esp
ACRES,true,"""nombre masculino""","""Medida inglesa de superficie equivalente a áreas y centiáreas""",5,esp
ACROE,null,null,null,null,null
ACROY,true,"""nombre masculino""","""Gentilhombre de la casa de que acompañaba al soberano en ciertos actos públicos y lo seguía a la guerra""",5,esp
ACTAS,true,"""nombre femenino""","""Relación escrita de lo sucedido tratado o acordado en una junta relación relato memoria reseña""",5,esp
ACTEA,null,null,null,null,null
ACTOR,true,"""nombre masculino y femenino""","""Persona que interpreta un papel en una obra teatral cinematográfica radiofónica o televisiva intérprete comediante cómico farandulero histrión figura galán dama1 artista figurante""",5,esp
ACTOS,true,"""nombre masculino""","""ejercicio de la posibilidad de hacer hecho acción operación obra actividad""",5,esp
ACTUA,null,null,null,null,null
ACTUE,null,null,null,null,null
ACTUO,null,null,null,null,null
ACUDA,true,"""verbo intransitivo""","""Dicho de una persona Ir al sitio adonde le conviene o es llamada asistir ir presentarse afluir faltar""",5,esp
ACUDE,true,"""verbo intransitivo""","""Dicho de una persona Ir al sitio adonde le conviene o es llamada asistir ir presentarse afluir faltar""",5,esp
ACUDI,null,null,null,null,null
ACUDO,true,"""verbo intransitivo""","""Dicho de una persona Ir al sitio adonde le conviene o es llamada asistir ir presentarse afluir faltar""",5,esp
ACUEA,null,null,null,null,null
ACUEO,null,null,null,null,null
ACULA,true,"""verbo transitivo""","""Hacer que un animal un carro quede arrimado por detrás a alguna parte""",5,esp
ACULE,true,"""verbo transitivo""","""Hacer que un animal un carro quede arrimado por detrás a alguna parte""",5,esp
ACULO,true,"""verbo transitivo""","""Hacer que un animal un carro quede arrimado por detrás a alguna parte""",5,esp
ACUNA,true,"""verbo transitivo""","""Mecer al niño en la cuna o en los brazos para que se duerma arrullar mecer1 abrezar""",5,esp
ACUNE,true,"""verbo transitivo""","""Mecer al niño en la cuna o en los brazos para que se duerma arrullar mecer1 abrezar""",5,esp
ACUNO,true,"""verbo transitivo""","""Mecer al niño en la cuna o en los brazos para que se duerma arrullar mecer1 abrezar""",5,esp
ACUÑA,true,"""verbo transitivo""","""Imprimir y sellar una pieza de metal especialmente una moneda o una medalla por medio de cuño o troquel grabar estampar imprimir cuñar""",5,esp
ACUÑE,true,"""verbo transitivo""","""Imprimir y sellar una pieza de metal especialmente una moneda o una medalla por medio de cuño o troquel grabar estampar imprimir cuñar""",5,esp
ACUÑO,true,"""verbo transitivo""","""Imprimir y sellar una pieza de metal especialmente una moneda o una medalla por medio de cuño o troquel grabar estampar imprimir cuñar""",5,esp
ACURE,true,"""nombre masculino""","""Roedor del tamaño de un conejo de carne comestible que vive en domesticidad en varios países de cuy agutí cobaya""",5,esp
ACUSA,true,"""verbo transitivo""","""Señalar a alguien atribuyéndole la culpa de una falta de un delito o de un hecho reprobable achacar imputar denunciar delatar culpar inculpar incriminar sindicar sapear""",5,esp
ACUSE,true,"""nombre masculino""","""Acción y efecto de avisar el recibo de cartas""",5,esp
ACUSO,true,"""verbo transitivo""","""Señalar a alguien atribuyéndole la culpa de una falta de un delito o de un hecho reprobable achacar imputar denunciar delatar culpar inculpar incriminar sindicar sapear""",5,esp
ACUTA,true,"""adjetivo desusado""","""agudo.""",5,esp
ACUTI,null,null,null,null,null
ACUTO,true,"""adjetivo desusado""","""agudo.""",5,esp
ACUYO,true,"""nombre masculino""","""arbusto piperáceo""",5,esp
ADALA,null,null,null,null,null
ADAMA,null,null,null,null,null
ADAME,null,null,null,null,null
ADAMO,null,null,null,null,null
ADAZA,null,null,null,null,null
ADEMA,true,"""nombre femenino""","""madero ademe""",5,esp
ADEME,true,"""nombre masculino""","""En minería madero que sirve para entibar adema""",5,esp
ADEMO,true,"""verbo transitivo""","""Poner ademes""",5,esp
ADIAD,true,"""verbo transitivo poco usado""","""Señalar o fijar día fechar citar convocar emplazar1""",5,esp
ADIAN,null,null,null,null,null
ADIAR,true,"""verbo transitivo poco usado""","""Señalar o fijar día fechar citar convocar emplazar1""",5,esp
ADIAS,null,null,null,null,null
ADIEN,null,null,null,null,null
ADIES,null,null,null,null,null
ADIOS,null,null,null,null,null
ADIVA,true,"""nombre femenino""","""adive""",5,esp
ADIVE,true,"""nombre masculino""","""Mamífero carnívoro originario de parecido al zorro de color leonado por el lomo y blanco amarillento por el vientre que en el siglo se utilizó en como animal doméstico o de compañía adiva""",5,esp
ADOBA,true,"""nombre femenino""","""masa de barro empleada en la construcción adobe adobón atoba""",5,esp
ADOBE,true,"""nombre masculino""","""Masa de barro mezclado a veces con paja moldeada en forma de ladrillo y secada al aire que se emplea en la construcción de paredes o muros adobón adoba atoba barro1 arcilla ladrillo""",5,esp
ADOBO,true,"""nombre masculino""","""Acción y efecto de adobar aliño aderezo salazón""",5,esp
ADORA,null,null,null,null,null
ADORE,true,"""verbo transitivo""","""Reverenciar o rendir culto a alguien o algo que se considera de naturaleza divina o relacionado con ella Los aztecas adoraban a muchas deidades Adora a Dios en sus criaturas Adorar el becerro de oro venerar reverenciar idolatrar""",5,esp
ADORO,true,"""nombre masculino desusado""","""adoración.""",5,esp
ADOSA,true,"""verbo transitivo""","""Poner una cosa por su espalda o por los lados contigua a otra o apoyada en ella juntar unir arrimar aproximar acercar yuxtaponer pegar apoyar2 separar""",5,esp
ADOSE,true,"""verbo transitivo""","""Poner una cosa por su espalda o por los lados contigua a otra o apoyada en ella juntar unir arrimar aproximar acercar yuxtaponer pegar apoyar2 separar""",5,esp
ADOSO,true,"""verbo transitivo""","""Poner una cosa por su espalda o por los lados contigua a otra o apoyada en ella juntar unir arrimar aproximar acercar yuxtaponer pegar apoyar2 separar""",5,esp
ADRAD,true,"""verbo transitivo""","""Repartir las aguas para el riego""",5,esp
ADRAL,true,"""nombre masculino""","""Cada uno de los zarzos o tablas que se ponen en los costados del carro para que no se caiga lo que va en él tablar1 costana tapial""",5,esp
ADRAN,true,"""verbo transitivo""","""Repartir las aguas para el riego""",5,esp
ADRAR,true,"""verbo transitivo""","""Repartir las aguas para el riego""",5,esp
ADRAS,null,null,null,null,null
ADREN,true,"""verbo transitivo""","""Repartir las aguas para el riego""",5,esp
ADRES,true,"""verbo transitivo""","""Repartir las aguas para el riego""",5,esp
ADUAR,true,"""nombre masculino""","""Campamento de beduinos formado por tiendas y chozas campamento""",5,esp
ADUCE,true,"""verbo transitivo""","""Presentar o alegar pruebas razones alegar argüir argumentar declarar razonar probar acreditar""",5,esp
ADUCI,null,null,null,null,null
ADUFE,true,"""nombre masculino""","""Pandero morisco pandero""",5,esp
ADUJA,true,"""nombre femenino""","""Cada una de las vueltas o roscas circulares u oblongas de cualquier cabo que se recoge en tal forma o de una vela enrollada cadena""",5,esp
ADUJE,null,null,null,null,null
ADUJO,null,null,null,null,null
ADULA,true,"""nombre femenino""","""dula ador dúa""",5,esp
ADULE,true,"""verbo transitivo""","""Hacer o decir con intención a veces inmoderadamente lo que se cree que puede agradar a otro lisonjear halagar alabar loar piropear camelar cepillar lamber lambisquear lambetear copalear lustrar incensar criticar vituperar""",5,esp
ADULO,true,"""verbo transitivo""","""Hacer o decir con intención a veces inmoderadamente lo que se cree que puede agradar a otro lisonjear halagar alabar loar piropear camelar cepillar lamber lambisquear lambetear copalear lustrar incensar criticar vituperar""",5,esp
ADUNA,true,"""verbo transitivo""","""Unir juntar congregar juntar reunir congregar unificar unir concertar separar""",5,esp
ADUNE,true,"""verbo transitivo""","""Unir juntar congregar juntar reunir congregar unificar unir concertar separar""",5,esp
ADUNO,true,"""verbo transitivo""","""Unir juntar congregar juntar reunir congregar unificar unir concertar separar""",5,esp
ADURA,null,null,null,null,null
ADURE,true,"""verbo transitivo poco usado""","""Abrasar o quemar abrasar quemar""",5,esp
ADURI,null,null,null,null,null
ADURO,true,"""adverbio desusado""","""casi no""",5,esp
ADVEN,null,null,null,null,null
AEDAS,true,"""nombre masculino""","""aedo rapsoda trovador bardo1 vate""",5,esp
AEDOS,true,"""nombre masculino""","""Cantor épico de la antigua rapsoda trovador bardo1 vate aeda""",5,esp
AEREA,null,null,null,null,null
AEREO,null,null,null,null,null
AETAS,true,"""adjetivo""","""Indígena de las montañas de que se distingue por su estatura pequeña y color pardo muy oscuro""",5,esp
AFACA,null,null,null,null,null
AFACE,null,null,null,null,null
AFAGA,null,null,null,null,null
AFAGO,null,null,null,null,null
AFAMA,true,"""verbo transitivo""","""Hacer famoso dar fama prestigiar2 acreditar desprestigiar calumniar desacreditar""",5,esp
AFAME,true,"""verbo transitivo""","""Hacer famoso dar fama prestigiar2 acreditar desprestigiar calumniar desacreditar""",5,esp
AFAMO,true,"""verbo transitivo""","""Hacer famoso dar fama prestigiar2 acreditar desprestigiar calumniar desacreditar""",5,esp
AFANA,true,"""verbo transitivo""","""Hurtar estafar robar robar hurtar sustraer escamotear sisar birlar choricear bailar desplumar bolsear bolsiquear""",5,esp
AFANE,true,"""verbo transitivo""","""Hurtar estafar robar robar hurtar sustraer escamotear sisar birlar choricear bailar desplumar bolsear bolsiquear""",5,esp
AFANO,true,"""nombre masculino coloquial""","""acción de robar rapacería1 robo1 facho rapto""",5,esp
AFARA,null,null,null,null,null
AFARE,null,null,null,null,null
AFATA,null,null,null,null,null
AFATE,true,"""nombre masculino""","""ahuate""",5,esp
AFATO,null,null,null,null,null
AFEAD,true,"""verbo transitivo""","""Hacer o poner feo a alguien o algo embellecer""",5,esp
AFEAN,true,"""verbo transitivo""","""Hacer o poner feo a alguien o algo embellecer""",5,esp
AFEAR,true,"""verbo transitivo""","""Hacer o poner feo a alguien o algo embellecer""",5,esp
AFEAS,true,"""verbo transitivo""","""Hacer o poner feo a alguien o algo embellecer""",5,esp
AFEEN,true,"""verbo transitivo""","""Hacer o poner feo a alguien o algo embellecer""",5,esp
AFEES,true,"""verbo transitivo""","""Hacer o poner feo a alguien o algo embellecer""",5,esp
AFIAR,true,"""verbo transitivo desusado""","""Dar a alguien fe o palabra de seguridad de no hacerle daño según lo practicaban antiguamente los hijosdalgo""",5,esp
AFICE,null,null,null,null,null
AFIJA,true,"""adjetivo""","""Dicho de un morfema Que aparece ligado en una posición fija con respecto a la base a la que se adjunta interfijo infijo prefijo sufijo partícula""",5,esp
AFIJO,true,"""adjetivo""","""Dicho de un morfema Que aparece ligado en una posición fija con respecto a la base a la que se adjunta interfijo infijo prefijo sufijo partícula""",5,esp
AFILA,true,"""adjetivo""","""Que no tiene hojas""",5,esp
AFILE,true,"""verbo transitivo""","""Sacar filo o hacer más delgado o agudo el de un arma o instrumento adelgazar adelgazarse aguzar ahusarse desafilar embotar1""",5,esp
AFILO,true,"""adjetivo""","""Que no tiene hojas""",5,esp
AFINA,true,"""verbo transitivo""","""Perfeccionar precisar o dar el último punto a algo perfeccionar mejorar ajustar""",5,esp
AFINE,true,"""verbo transitivo""","""Perfeccionar precisar o dar el último punto a algo perfeccionar mejorar ajustar""",5,esp
AFINO,true,"""nombre masculino""","""Proceso mediante el cual se eliminan las impurezas que perjudican al empleo industrial de los metales o se reducen a su forma menos nociva""",5,esp
AFIZO,null,null,null,null,null
AFLUI,null,null,null,null,null
AFOCA,true,"""verbo transitivo""","""centrar la imagen enfocar""",5,esp
AFOCO,true,"""verbo transitivo""","""centrar la imagen enfocar""",5,esp
AFOFA,true,"""verbo pronominal""","""Ponerse fofo""",5,esp
AFOFE,true,"""verbo pronominal""","""Ponerse fofo""",5,esp
AFOFO,true,"""verbo pronominal""","""Ponerse fofo""",5,esp
AFOGA,null,null,null,null,null
AFOGO,null,null,null,null,null
AFONA,null,null,null,null,null
AFONO,null,null,null,null,null
AFORA,true,"""verbo transitivo""","""Dar o tomar a foro alguna heredad""",5,esp
AFORE,true,"""nombre femenino""","""Banco que administra las cuentas individuales de ahorro para el retiro de los trabajadores""",5,esp
AFORO,true,"""nombre masculino""","""Acción y efecto de aforar""",5,esp
AFOSA,true,"""verbo pronominal""","""Defenderse haciendo algún foso""",5,esp
AFOSE,true,"""verbo pronominal""","""Defenderse haciendo algún foso""",5,esp
AFOSO,true,"""verbo pronominal""","""Defenderse haciendo algún foso""",5,esp
AFTAS,true,"""nombre femenino""","""Úlcera pequeña blanquecina que se forma durante el curso de ciertas enfermedades en la mucosa de la boca o de otras partes del tubo digestivo o en la mucosa genital llaga úlcera pústula""",5,esp
AFUFA,true,"""nombre femenino""","""acción de huir""",5,esp
AFUFE,null,null,null,null,null
AFUFO,null,null,null,null,null
AFUMA,null,null,null,null,null
AFUME,null,null,null,null,null
AFUMO,null,null,null,null,null
AGACE,true,"""adjetivo""","""Dicho de una persona De un pueblo indio americano que vivía en la desembocadura del río""",5,esp
AGAMI,null,null,null,null,null
AGANA,null,null,null,null,null
AGANE,null,null,null,null,null
AGANO,null,null,null,null,null
AGAPE,null,null,null,null,null
AGATA,null,null,null,null,null
AGAVE,true,"""nombre masculino o femenino""","""pita1 maguey""",5,esp
AGIOS,true,"""nombre masculino""","""Beneficio que se obtiene del cambio de la moneda o de descontar letras pagarés""",5,esp
AGITA,true,"""verbo transitivo""","""Mover con frecuencia y violentamente de un lado a otro sacudir revolver mover alterar traquetear zarandear temblar vibrar oscilar alebrestarse tranquilizar calmar serenar aquietar""",5,esp
